filename,Original Area,Original Perimeter,Original m10,Original m01,Original m11,Original m20,Original m02,Convex Hull Area,Convex Hull Perimeter,Convex Hull m10,Convex Hull m01,Convex Hull m11,Convex Hull m20,Convex Hull m02,# of Deficits,Area of Deficits
00000072.png,6141.0,322.7929846048355,290016.8333333333,435172.6666666666,20271444.916666664,15206727.0,37312436.33333333,6141.0,322.7929846048355,290016.8333333333,435172.6666666666,20271444.916666664,15206727.0,37312436.33333333,12,2775.0000000000005
00000073.png,5448.5,312.7183817625046,255586.5,378145.0,17598906.125,13016860.083333332,32036905.583333332,5448.5,312.7183817625046,255586.5,378145.0,17598906.125,13016860.083333332,32036905.583333332,12,1982.499999999999
00000074.png,4826.5,301.29850339889526,223545.0,325388.0,15020566.291666666,11041109.583333332,27130354.75,4826.5,301.29850339889526,223545.0,325388.0,15020566.291666666,11041109.583333332,27130354.75,11,1377.0000000000005
00000075.png,4141.5,292.5738288164139,186144.66666666666,269833.5,12129134.708333332,8788090.25,22094567.916666664,4141.5,292.5738288164139,186144.66666666666,269833.5,12129134.708333332,8788090.25,22094567.916666664,10,1268.5000000000002
00000076.png,3673.0,287.3348525762558,165545.3333333333,235509.66666666666,10664381.25,7750148.0,19166220.333333332,3673.0,287.3348525762558,165545.3333333333,235509.66666666666,10664381.25,7750148.0,19166220.333333332,11,802.5
00000077.png,3723.5,288.2337987422943,168642.0,236321.3333333333,10706478.875,7941777.083333333,19116010.416666664,3723.5,288.2337987422943,168642.0,236321.3333333333,10706478.875,7941777.083333333,19116010.416666664,13,718.9999999999991
00000078.png,3980.0,293.6504055261612,179594.66666666666,261666.8333333333,11807702.583333332,8467505.0,21740825.0,3980.0,293.6504055261612,179594.66666666666,261666.8333333333,11807702.583333332,8467505.0,21740825.0,12,753.0000000000015
00000079.png,4250.5,305.7654939889908,192260.3333333333,289843.0,13178967.958333332,9140625.083333332,24822559.75,4250.5,305.7654939889908,192260.3333333333,289843.0,13178967.958333332,9140625.083333332,24822559.75,9,1349.4999999999966
00000080.png,4823.0,314.8497862815857,223307.16666666666,343038.5,16056451.333333332,11045098.666666666,29997398.5,4823.0,314.8497862815857,223307.16666666666,343038.5,16056451.333333332,11045098.666666666,29997398.5,9,1728.4999999999961
00000081.png,5382.5,323.5164121389389,255449.3333333333,392905.6666666666,18885828.791666664,13161968.25,34774129.58333333,5382.5,323.5164121389389,255449.3333333333,392905.6666666666,18885828.791666664,13161968.25,34774129.58333333,11,1959.4999999999986
00000082.png,5767.0,329.1861871480942,275620.6666666666,428120.1666666666,20612255.666666664,14508371.0,38139756.0,5767.0,329.1861871480942,275620.6666666666,428120.1666666666,20612255.666666664,14508371.0,38139756.0,12,2203.0000000000014
00000083.png,6107.0,334.9638444185257,291353.1666666666,463634.1666666666,22229230.5,15531316.833333332,41840762.666666664,6107.0,334.9638444185257,291353.1666666666,463634.1666666666,22229230.5,15531316.833333332,41840762.666666664,10,2554.000000000002
00000084.png,6081.5,336.84888207912445,280006.6666666666,466242.3333333333,21393300.958333332,14539585.916666666,42344469.75,6081.5,336.84888207912445,280006.6666666666,466242.3333333333,21393300.958333332,14539585.916666666,42344469.75,10,2699.000000000002
00000085.png,6017.0,338.24211752414703,267369.5,463922.5,20385046.166666664,13506908.166666666,42312888.83333333,6017.0,338.24211752414703,267369.5,463922.5,20385046.166666664,13506908.166666666,42312888.83333333,10,2788.0
00000086.png,5925.5,338.5571868419647,254212.66666666666,457042.3333333333,19208649.708333332,12480856.583333332,41728580.25,5925.5,338.5571868419647,254212.66666666666,457042.3333333333,19208649.708333332,12480856.583333332,41728580.25,10,2797.500000000003
00000087.png,5679.0,333.5019518136978,236516.0,435838.0,17663593.333333332,11233886.5,39666041.33333333,5679.0,333.5019518136978,236516.0,435838.0,17663593.333333332,11233886.5,39666041.33333333,11,2734.0
00000088.png,5377.0,329.71534168720245,222234.5,405831.8333333333,16279479.666666666,10344007.166666666,36623585.83333333,5377.0,329.71534168720245,222234.5,405831.8333333333,16279479.666666666,10344007.166666666,36623585.83333333,12,2542.0000000000027
00000089.png,5005.5,318.78426921367645,206846.5,366461.3333333333,14723807.041666666,9436538.75,32451391.083333332,5005.5,318.78426921367645,206846.5,366461.3333333333,14723807.041666666,9436538.75,32451391.083333332,9,2154.0000000000014
00000090.png,4489.5,310.76006507873535,185556.66666666666,321641.6666666666,12949184.708333332,8273317.916666666,28246814.583333332,4489.5,310.76006507873535,185556.66666666666,321641.6666666666,12949184.708333332,8273317.916666666,28246814.583333332,10,1935.999999999999
